messstelle_id,e32,e32num,n32,n32num,genau
218734426,3205XX,320550.0,56348XX,5634850.0,100
218734438,3205XX,320550.0,56348XX,5634850.0,100
218734440,3205XX,320550.0,56348XX,5634850.0,100
218734451,3205XX,320550.0,56348XX,5634850.0,100
218734463,3205XX,320550.0,56348XX,5634850.0,100
218734517,3231XX,323150.0,56433XX,5643350.0,100
218734610,3228XX,322850.0,56451XX,5645150.0,100
218734712,3238XX,323850.0,56413XX,5641350.0,100
218734815,3230XX,323050.0,56452XX,5645250.0,100
218734918,3231XX,323150.0,56439XX,5643950.0,100
218734920,3231XX,323150.0,56439XX,5643950.0,100
218735017,3229XX,322950.0,56463XX,5646350.0,100
218735029,3229XX,322950.0,56463XX,5646350.0,100
218735030,3229XX,322950.0,56463XX,5646350.0,100
218735110,3216XX,321650.0,56446XX,5644650.0,100
218735212,3232XX,323250.0,56375XX,5637550.0,100
218735224,3232XX,323250.0,56375XX,5637550.0,100
218735236,3232XX,323250.0,56375XX,5637550.0,100
218735248,3232XX,323250.0,56375XX,5637550.0,100
218735250,3232XX,323250.0,56375XX,5637550.0,100
218735418,3234XX,323450.0,56433XX,5643350.0,100
218735420,3234XX,323450.0,56433XX,5643350.0,100
218735510,3237XX,323750.0,56431XX,5643150.0,100
218735522,3237XX,323750.0,56431XX,5643150.0,100
218735613,3237XX,323750.0,56434XX,5643450.0,100
218735625,3237XX,323750.0,56434XX,5643450.0,100
218735716,3239XX,323950.0,56432XX,5643250.0,100
218735728,3239XX,323950.0,56432XX,5643250.0,100
218735819,3243XX,324350.0,56428XX,5642850.0,100
218735911,3147XX,314750.0,56440XX,5644050.0,100
218735923,3147XX,314750.0,56440XX,5644050.0,100
218736010,3147XX,314750.0,56440XX,5644050.0,100
218736113,3233XX,323350.0,56452XX,5645250.0,100
218736125,3233XX,323350.0,56452XX,5645250.0,100
218736319,3233XX,323350.0,56449XX,5644950.0,100
218736320,3233XX,323350.0,56449XX,5644950.0,100
218736332,3233XX,323350.0,56449XX,5644950.0,100
218736411,3238XX,323850.0,56446XX,5644650.0,100
218736423,3238XX,323850.0,56446XX,5644650.0,100
218736435,3238XX,323850.0,56446XX,5644650.0,100
218736514,3234XX,323450.0,56451XX,5645150.0,100
218736526,3234XX,323450.0,56451XX,5645150.0,100
218736617,3233XX,323350.0,56455XX,5645550.0,100
218736629,3233XX,323350.0,56455XX,5645550.0,100
218736630,3233XX,323350.0,56455XX,5645550.0,100
218736710,3237XX,323750.0,56429XX,5642950.0,100
218736721,3237XX,323750.0,56429XX,5642950.0,100
218736812,3226XX,322650.0,56438XX,5643850.0,100
218736824,3226XX,322650.0,56438XX,5643850.0,100
218736915,3222XX,322250.0,56441XX,5644150.0,100
218736927,3222XX,322250.0,56441XX,5644150.0,100
218737014,3220XX,322050.0,56443XX,5644350.0,100
218737117,3222XX,322250.0,56445XX,5644550.0,100
218737210,3232XX,323250.0,56436XX,5643650.0,100
218737221,3232XX,323250.0,56436XX,5643650.0,100
218737312,3238XX,323850.0,56405XX,5640550.0,100
218737324,3238XX,323850.0,56405XX,5640550.0,100
218737336,3238XX,323850.0,56405XX,5640550.0,100
218737415,3210XX,321050.0,56431XX,5643150.0,100
218737427,3210XX,321050.0,56431XX,5643150.0,100
218737518,3219XX,321950.0,56431XX,5643150.0,100
218737520,3219XX,321950.0,56431XX,5643150.0,100
218737531,3219XX,321950.0,56431XX,5643150.0,100
218737610,3234XX,323450.0,56432XX,5643250.0,100
218737622,3234XX,323450.0,56432XX,5643250.0,100
218737713,3237XX,323750.0,56428XX,5642850.0,100
218737816,3242XX,324250.0,56426XX,5642650.0,100
218737828,3242XX,324250.0,56426XX,5642650.0,100
218737919,3239XX,323950.0,56430XX,5643050.0,100
218737920,3239XX,323950.0,56430XX,5643050.0,100
218738018,3242XX,324250.0,56430XX,5643050.0,100
218738020,3242XX,324250.0,56430XX,5643050.0,100
218738110,3244XX,324450.0,56423XX,5642350.0,100
218738213,3246XX,324650.0,56425XX,5642550.0,100
218738225,3246XX,324650.0,56425XX,5642550.0,100
218738316,3245XX,324550.0,56421XX,5642150.0,100
218738419,3247XX,324750.0,56421XX,5642150.0,100
218738511,3247XX,324750.0,56416XX,5641650.0,100
218738614,3251XX,325150.0,56417XX,5641750.0,100
218738717,3251XX,325150.0,56411XX,5641150.0,100
218738810,3208XX,320850.0,56441XX,5644150.0,100
218738912,3244XX,324450.0,56431XX,5643150.0,100
218739011,3241XX,324150.0,56433XX,5643350.0,100
218739023,3241XX,324150.0,56433XX,5643350.0,100
